"Package","Version"
"semPlot","1.2.0"
"semTools","0.5-9"
"seqinr","4.2-44"
"seriation","1.5.8"
"servr","0.33"
"sessioninfo","1.2.4"
"sets","1.0-25"
"sf","1.1-2"
"sfd","0.1.0"
"sfheaders","0.4.5"
"sfsmisc","1.1-24"
"shades","1.5.0"
"shape","1.4.6.1"
"shapefiles","0.7.2"
"shiny","1.14.0"
"shinydashboard","0.7.3"
"shinyFeedback","0.4.0"
"shinyjqui","0.4.1"
"shinyjs","2.1.1"
"shinystan","2.7.0"
"shinythemes","1.2.0"
"shinyWidgets","0.9.1"
"showtext","0.9-8"
"showtextdb","3.0"
"simstudy","0.9.2"
"sitmo","2.0.2"
"sjlabelled","1.2.0"
"sjmisc","2.8.11"
"sjPlot","2.9.0"
"sjstats","0.19.1"
"SkewHyperbolic","0.4-2"
"skpr","1.9.2"
"slam","0.1-56"
"slider","0.3.3"
"snakecase","0.11.1"
"SnowballC","0.7.1"
"snowflakeauth","0.2.2"
"sodium","1.4.0"
"soilphysics","5.1"
"som","0.3-5.2"
"sourcetools","0.1.7-2"
"sp","2.2-3"
"spacefillr","0.4.0"
"spacesXYZ","1.6-0"
"spam","2.11-4"
"SparseM","1.84-2"
"sparsevctrs","0.3.6"
"SpatialEpi","1.2.8"
"spatialwidget","0.2.6"
"SpATS","1.0-20"
"spatstat.data","3.1-9"
"spatstat.explore","3.8-1"
"spatstat.geom","3.8-2"
"spatstat.model","3.7-1"
"spatstat.random","3.5-0"
"spatstat.sparse","3.2-0"
"spatstat.univar","3.2-0"
"spatstat.utils","3.2-4"
"spd","2.0-1"
"spData","2.3.5"
"spdep","1.4-2"
"splines2","0.5.4"
"splitfngr","0.1.2"
"splus2R","1.3-5"
"sqldf","0.4-12"
"SQUAREM","2026.1"
"stable","1.1.7"
"stabledist","0.7-2"
"stabm","1.2.2"
"StanHeaders","2.32.10"
"stargazer","5.2.3"
"statip","0.2.3"
"statmod","1.5.2"
"statnet.common","4.13.0"
"statsExpressions","2.0.0"
"stopwords","2.3"
"strengejacke","0.5.0"
"stringdist","0.9.17"
"stringi","1.8.7"
"stringmagic","1.2.0"
"stringr","1.6.0"
