Player,Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,Minute,Score,Goalkeeper,Assist,Notes,Opp_clean,Squad_clean,Venue_match,Result,Minutes,Gls,Opponent_Elo,Elo_Source,Competition_Stage,Is_Away,Difficulty_Score,xg,xg_source,goal_id,Weighted_Goal
Lionel Messi,711,2010-12-12,La Liga,Matchweek 15,Home,Barcelona,Real Sociedad,Y,86,3-0,Claudio Bravo,,,Real Sociedad,Barcelona,Home,W 5–0,90,2,1641.30432129,club,Group,FALSE,0.7934824399259907,NA,missing,Lionel_Messi-1028,0.7934824399259907
Lionel Messi,710,2011-01-08,La Liga,Matchweek 18,Away,Barcelona,Dep. La Coruña,Y,51,1-0,Daniel Aranzubia,,,Dep. La Coruña,Barcelona,Away,W 4–0,90,1,1738.783185895233,league_avg,Group,TRUE,-1.1084723897073732,NA,missing,Lionel_Messi-1029,-1.1084723897073732
Lionel Messi,709,2011-01-22,La Liga,Matchweek 20,Home,Barcelona,Racing Sant,Y,33,1-0,Toño,,Penalty kick,Racing Sant,Barcelona,Home,W 3–0,90,1,1738.783185895233,league_avg,Group,FALSE,0.8337073441985677,NA,missing,Lionel_Messi-1030,0.8337073441985677
Lionel Messi,708,2011-01-29,La Liga,Matchweek 21,Away,Barcelona,Hércules,Y,87,1-0,Juan Calatayud,,,Hércules,Barcelona,Away,W 3–0,90,2,1636.00158691,club,Group,TRUE,-1.1508854809647107,NA,missing,Lionel_Messi-1031,-1.1508854809647107
Lionel Messi,707,2011-01-29,La Liga,Matchweek 21,Away,Barcelona,Hércules,Y,89,2-0,Juan Calatayud,,,Hércules,Barcelona,Away,W 3–0,90,2,1636.00158691,club,Group,TRUE,-1.1508854809647107,NA,missing,Lionel_Messi-1032,-1.1508854809647107
Lionel Messi,706,2011-02-05,La Liga,Matchweek 22,Home,Barcelona,Atlético Madrid,Y,17,0-0,David de Gea,,,Atlético Madrid,Barcelona,Home,W 3–0,90,3,1706.26086426,club,Group,FALSE,0.8202869245024915,NA,missing,Lionel_Messi-1033,0.8202869245024915
Lionel Messi,705,2011-02-05,La Liga,Matchweek 22,Home,Barcelona,Atlético Madrid,Y,28,1-0,David de Gea,,,Atlético Madrid,Barcelona,Home,W 3–0,90,3,1706.26086426,club,Group,FALSE,0.8202869245024915,NA,missing,Lionel_Messi-1034,0.8202869245024915
Lionel Messi,704,2011-02-05,La Liga,Matchweek 22,Home,Barcelona,Atlético Madrid,Y,79,2-0,David de Gea,,,Atlético Madrid,Barcelona,Home,W 3–0,90,3,1706.26086426,club,Group,FALSE,0.8202869245024915,NA,missing,Lionel_Messi-1035,0.8202869245024915
Lionel Messi,703,2011-02-20,La Liga,Matchweek 24,Home,Barcelona,Athletic Club,Y,77,1-1,Gorka Iraizoz,,,Athletic Club,Barcelona,Home,W 2–1,90,1,1714.34399414,club,Group,FALSE,0.823622448843717,NA,missing,Lionel_Messi-1036,0.823622448843717
Lionel Messi,702,2011-02-26,La Liga,Matchweek 25,Away,Barcelona,Mallorca,Y,38,0-0,Dudu Aouate,,,Mallorca,Barcelona,Away,W 3–0,90,1,1698.64709473,club,Group,TRUE,-1.125034650988679,NA,missing,Lionel_Messi-1037,-1.125034650988679
Lionel Messi,701,2011-03-02,La Liga,Matchweek 26,Away,Barcelona,Valencia,Y,76,0-0,Vicente Guaita,,,Valencia,Barcelona,Away,W 1–0,90,1,1827.54980469,club,Group,TRUE,-1.0718426160833152,NA,missing,Lionel_Messi-1038,-1.0718426160833152
Lionel Messi,700,2011-03-08,Champions Lg,Round of 16,Home,Barcelona,Arsenal,Y,48,0-0,Manuel Almunia,,,Arsenal,Barcelona,Home,W 3–1,90,2,1894.29321289,club,Knockout,FALSE,1.0690440487975905,NA,missing,Lionel_Messi-1039,1.0690440487975905
Lionel Messi,699,2011-03-08,Champions Lg,Round of 16,Home,Barcelona,Arsenal,Y,71,2-1,Manuel Almunia,,Penalty kick,Arsenal,Barcelona,Home,W 3–1,90,2,1894.29321289,club,Knockout,FALSE,1.0690440487975905,NA,missing,Lionel_Messi-1040,1.0690440487975905
Lionel Messi,698,2011-04-09,La Liga,Matchweek 31,Home,Barcelona,Almería,Y,52,0-1,Diego Alves,,Penalty kick,Almería,Barcelona,Home,W 3–1,90,2,1625.21166992,club,Group,FALSE,0.7868417659350517,NA,missing,Lionel_Messi-1041,0.7868417659350517
Lionel Messi,697,2011-04-09,La Liga,Matchweek 31,Home,Barcelona,Almería,Y,90+2,2-1,Diego Alves,,,Almería,Barcelona,Home,W 3–1,90,2,1625.21166992,club,Group,FALSE,0.7868417659350517,NA,missing,Lionel_Messi-1042,0.7868417659350517
Lionel Messi,696,2011-04-12,Champions Lg,Quarter-finals,Away,Barcelona,Shakhtar D.,Y,43,0-0,Andriy Pyatov,,,Shakhtar D.,Barcelona,Away,W 1–0,90,1,1812.7101919840484,league_avg,Knockout,TRUE,-0.9068011285816568,NA,missing,Lionel_Messi-1043,-0.9068011285816568
Lionel Messi,695,2011-04-16,La Liga,Matchweek 32,Away,Barcelona,Real Madrid,Y,51,0-0,Iker Casillas,,Penalty kick,Real Madrid,Barcelona,Away,D 1–1,90,1,1998.34814453,club,Group,TRUE,-1.0013622417190626,NA,missing,Lionel_Messi-1044,-1.0013622417190626
Lionel Messi,694,2011-04-23,La Liga,Matchweek 33,Home,Barcelona,Osasuna,N,69,1-0,Ricardo,,,Osasuna,Barcelona,Home,W 2–0,34,1,1676.87866211,club,Group,FALSE,0.8081622831908833,NA,missing,Lionel_Messi-1045,0.8081622831908833
Lionel Messi,693,2011-04-27,Champions Lg,Semi-finals,Away,Barcelona,Real Madrid,Y,76,0-0,Iker Casillas,,,Real Madrid,Barcelona,Away,W 2–0,90,2,2008.47363281,club,Knockout,TRUE,-0.8260188410654409,NA,missing,Lionel_Messi-1046,-0.8260188410654409
Lionel Messi,692,2011-04-27,Champions Lg,Semi-finals,Away,Barcelona,Real Madrid,Y,87,1-0,Iker Casillas,,,Real Madrid,Barcelona,Away,W 2–0,90,2,2008.47363281,club,Knockout,TRUE,-0.8260188410654409,NA,missing,Lionel_Messi-1047,-0.8260188410654409
Lionel Messi,691,2011-05-28,Champions Lg,Final,Neutral,Barcelona,Manchester Utd,Y,54,1-1,Edwin van der Sar,,,Manchester Utd,Barcelona,Neutral,W 3–1,90,1,1812.7101919840484,league_avg,Final,FALSE,1.8013626248009196,NA,missing,Lionel_Messi-1048,1.8013626248009196
Lionel Messi,690,2011-08-29,La Liga,Matchweek 2,Home,Barcelona,Villarreal,Y,51,3-0,Diego López,,,Villarreal,Barcelona,Home,W 5–0,90,2,1781.17333984,club,Group,FALSE,0.851199750285092,NA,missing,Lionel_Messi-1049,0.851199750285092
Lionel Messi,689,2011-08-29,La Liga,Matchweek 2,Home,Barcelona,Villarreal,Y,74,4-0,Diego López,,,Villarreal,Barcelona,Home,W 5–0,90,2,1781.17333984,club,Group,FALSE,0.851199750285092,NA,missing,Lionel_Messi-1050,0.851199750285092
Lionel Messi,688,2011-09-17,La Liga,Matchweek 4,Home,Barcelona,Osasuna,Y,4,0-0,Andrés Fernández,,,Osasuna,Barcelona,Home,W 8–0,90,3,1710.52709961,club,Group,FALSE,0.8220473974958223,NA,missing,Lionel_Messi-1051,0.8220473974958223
Lionel Messi,687,2011-09-17,La Liga,Matchweek 4,Home,Barcelona,Osasuna,Y,40,4-0,Andrés Fernández,,,Osasuna,Barcelona,Home,W 8–0,90,3,1710.52709961,club,Group,FALSE,0.8220473974958223,NA,missing,Lionel_Messi-1052,0.8220473974958223
Lionel Messi,686,2011-09-17,La Liga,Matchweek 4,Home,Barcelona,Osasuna,Y,78,7-0,Andrés Fernández,,,Osasuna,Barcelona,Home,W 8–0,90,3,1710.52709961,club,Group,FALSE,0.8220473974958223,NA,missing,Lionel_Messi-1053,0.8220473974958223
Lionel Messi,685,2011-09-24,La Liga,Matchweek 6,Home,Barcelona,Atlético Madrid,Y,26,2-0,Thibaut Courtois,,,Atlético Madrid,Barcelona,Home,W 5–0,90,3,1763.54589844,club,Group,FALSE,0.8439257412395723,NA,missing,Lionel_Messi-1054,0.8439257412395723
Lionel Messi,684,2011-09-24,La Liga,Matchweek 6,Home,Barcelona,Atlético Madrid,Y,78,3-0,Thibaut Courtois,,,Atlético Madrid,Barcelona,Home,W 5–0,90,3,1763.54589844,club,Group,FALSE,0.8439257412395723,NA,missing,Lionel_Messi-1055,0.8439257412395723
Lionel Messi,683,2011-09-24,La Liga,Matchweek 6,Home,Barcelona,Atlético Madrid,Y,90+1,4-0,Thibaut Courtois,,,Atlético Madrid,Barcelona,Home,W 5–0,90,3,1763.54589844,club,Group,FALSE,0.8439257412395723,NA,missing,Lionel_Messi-1056,0.8439257412395723
Lionel Messi,682,2011-09-28,Champions Lg,Group stage,Away,Barcelona,BATE Borisov,Y,38,2-0,Alyaksandr Hutar,,,BATE Borisov,Barcelona,Away,W 5–0,90,2,1812.7101919840484,league_avg,Group,TRUE,-1.0779662204457217,NA,missing,Lionel_Messi-1057,-1.0779662204457217
Lionel Messi,681,2011-09-28,Champions Lg,Group stage,Away,Barcelona,BATE Borisov,Y,56,3-0,Alyaksandr Hutar,,,BATE Borisov,Barcelona,Away,W 5–0,90,2,1812.7101919840484,league_avg,Group,TRUE,-1.0779662204457217,NA,missing,Lionel_Messi-1058,-1.0779662204457217
